Store Name,person Area Percentage (%),scissors Area Percentage (%),Building Area (%),Sky Area (%),Vegetation Area (%)
吉庆民俗街,0.21833333333333335,0.06666666666666667,2.275,2.611666666666667,2.705
汉口中共中央宣传部旧址暨瞿秋白旧居陈列馆,0.0,0.0,13.295,0.33,0.0
