name,type,location,address,distance,rating,business_area
爱麻氏棋牌,体育休闲服务;娱乐场所;棋牌室,"114.292622,30.590013",京汉大道大智嘉园-II区,414,4.1,江滩
琬美私人健身,体育休闲服务;运动场馆;健身中心,"114.292622,30.590014",大智街办事处京汉大道大智路口大智嘉园C-2-17,415,3.8,江滩
布达佩斯Nostalgia_手作艺术空间(新长盛广场店),体育休闲服务;休闲场所;休闲场所,"114.289203,30.583272",长盛公寓19楼16号(循礼门地铁站H口步行340米),419,4.1,大智路
龙威格斗运动馆,体育休闲服务;运动场馆;运动场所,"114.291997,30.590378",球场街街道汉口京汉大道大智路金地京汉1903商业街2楼,420,4.3,江滩
阿巴阿巴桌游吧·剧本杀·狼人杀·小游戏(新长盛广场店),体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.289321,30.583208",江汉路步行街126号新长盛广场江汉路步行街店8F层,424,3.7,前进
心忆私人影吧(新长盛广场店),体育休闲服务;影剧院;电影院,"114.289210,30.583221",江汉路步行街126号新长盛广场江汉路步行街店7F层,425,3.9,大智路
流音壹组(大智商城店),体育休闲服务;休闲场所;休闲场所,"114.294471,30.587831",大智路49号附8号,425,4.4,大智路
三只小熊DIY蛋糕烘焙(新长盛广场店),体育休闲服务;休闲场所;休闲场所|餐饮服务;糕饼店;糕饼店,"114.289134,30.583228",江汉路步行街126号新长盛广场(江汉路步行街店),425,3.9,大智路
银造·银饰·非遗手工·DIY手作(长盛公寓店),体育休闲服务;休闲场所;休闲场所,"114.289154,30.583218",银造银饰DIY,426,4.7,大智路
WAY(WILD&YOUNG)GYM STUDIO,体育休闲服务;运动场馆;健身中心,"114.292053,30.590423",京汉大道与义和巷交叉口西40米,427,3.7,江滩
咔咔星球(新长盛广场店),体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.289190,30.583199",长盛公寓18层1801(循礼门地铁站J口步行400米),427,4.1,江滩
多乐台球(吉庆街店),体育休闲服务;运动场馆;台球厅,"114.294574,30.587490",大智路交易街融兴大厦49号1层,428,4.6,大智路
疯狂过山车·悬空玻璃栈桥,体育休闲服务;休闲场所;游乐场,"114.289111,30.583203",江汉路步行街126号新长盛广场江汉路步行街店5F层,429,3.6,大智路
