name,type,location,address,distance,rating,business_area
欢度时光桌游吧(江汉店),体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.286995,30.585041",循礼门J口世纪大厦7楼(循礼门地铁站J口步行70米),369,4.4,大智路
金色池塘宴会厅,体育休闲服务;娱乐场所;KTV|餐饮服务;中餐厅;广东菜(粤菜)|生活服务;洗浴推拿场所;洗浴推拿场所,"114.286824,30.588683",汉口解放大道1437号(循礼门地铁站E口步行470米),372,4.5,建设大道
悦汇,体育休闲服务;娱乐场所;KTV|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,"114.293982,30.586387",大智街道吉庆街181号,372,3.9,大智路
蓝朋友手作diy(世纪大厦店),体育休闲服务;休闲场所;休闲场所,"114.286906,30.585101",京汉大道世纪大厦12楼12f(循礼门j出口10米),373,4.3,大智路
三刻健身吉庆街店,体育休闲服务;运动场馆;健身中心,"114.293944,30.587726",大智商城2楼三刻健身,373,4.3,江滩
雀家24h自助棋牌(循礼门店),体育休闲服务;娱乐场所;棋牌室,"114.286930,30.585060",循礼门世纪大厦13楼13c,373,4.4,江滩
虚浮·小酒馆,体育休闲服务;娱乐场所;酒吧,"114.286926,30.585057",世纪大厦,374,4.2,大智路
白熊网咖(大智商城店),体育休闲服务;娱乐场所;网吧,"114.293986,30.587590",交易街26号大智商城F2层,374,4.7,江滩
魅都主题影吧(循礼门店),体育休闲服务;影剧院;电影院,"114.286943,30.585023",大智街街道江汉路206号世纪大厦13楼13a室,374,3.9,前进
DK运动康复训练馆,体育休闲服务;运动场馆;健身中心,"114.286361,30.586089",江岸区船舶广场老楼705(循礼门地铁站G口步行60米),375,3.7,大智路
浮世剧本杀,体育休闲服务;娱乐场所;娱乐场所,"114.286945,30.585003",京汉街与江汉路交叉口东北40米,376,3.8,江滩
壹见钟影·影咖·PS·NS·桌游(Markmall店),体育休闲服务;娱乐场所;娱乐场所,"114.286942,30.585003",Markmall(循礼门地铁站H口步行80米),376,3.9,大智路
二丁目清吧,体育休闲服务;娱乐场所;酒吧,"114.286940,30.585002",京汉大道世纪大厦206号27楼A,376,4.4,大智路
MAKA麻咖24h自助棋牌(循礼门店),体育休闲服务;娱乐场所;棋牌室,"114.286951,30.584987",京汉大道世纪大厦12楼D E室,376,4.5,江滩
WINKLE闪耀阿玛尼酒吧,体育休闲服务;娱乐场所;酒吧,"114.286767,30.588690",解放大道1437号金色池塘停车场入口,377,3.4,建设大道
星星跳酒club,体育休闲服务;娱乐场所;酒吧,"114.286918,30.585002",京汉街与江汉路交叉口东北40米,378,3.5,江滩
M.L麋鹿私人影院(循礼门店),体育休闲服务;影剧院;电影院,"114.286929,30.584985",京汉大道-世纪大厦14楼A室,378,4,江滩
狸园314·沉浸式剧幕推理馆(循礼门店),体育休闲服务;娱乐场所;娱乐场所,"114.286868,30.585056",京汉大道852号世纪大厦A栋14b(循礼门地铁站J出口),378,4.3,江滩
TiMi私人影院(江汉路店),体育休闲服务;影剧院;电影院,"114.286882,30.585035",世纪大厦20B(循礼门地铁站H口步行80米),379,4.4,前进
散场·小酒馆,体育休闲服务;娱乐场所;酒吧,"114.286926,30.584972",世纪大厦19楼F(循礼门地铁站J口步行60米),379,4.6,江滩
白给电玩PS5·SWTICH,体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.286920,30.584978",京汉大道852号世纪大厦15楼E,379,3.8,江滩
CJL蔡蔡子的探案馆(Markmall店),体育休闲服务;娱乐场所;娱乐场所,"114.286882,30.585021",Markmall(循礼门地铁站H口步行80米),379,0.1,前进
银河电玩·棋牌·私影·桌游(Markmall店),体育休闲服务;娱乐场所;游戏厅,"114.286893,30.585004",Markmall(循礼门地铁站H口步行80米),380,3.8,大智路
旧梦沉浸式剧本杀探案馆,体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.286879,30.585013",世纪大厦25E-F室(循礼门地铁站H口步行80米),380,3.5,江滩
不鸽·剧本杀,体育休闲服务;娱乐场所;娱乐场所,"114.286902,30.584983",京汉大道循礼门世纪大厦9A,380,3.9,江滩
麻咖24h自助棋牌,体育休闲服务;娱乐场所;棋牌室,"114.286874,30.585003",京汉大道世纪大厦8楼C室,381,4,大智路
日暮私影电玩桌游,体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.286876,30.584998",日暮文化传媒工作室(循礼门地铁站H口步行90米),381,3.5,大智路
四个朋友24h自助棋牌(循礼门世纪大厦店),体育休闲服务;娱乐场所;棋牌室,"114.286806,30.585081",江汉路206号世纪大厦14A,382,4.4,江滩
STAR星空·桌游·电玩·互动·私影·日麻(循礼门店),体育休闲服务;娱乐场所;游戏厅,"114.286877,30.584988",循礼门世纪大厦16-d,382,3.8,大智路
打本DD·剧本杀·桌游馆(Markmall店),体育休闲服务;娱乐场所;娱乐场所,"114.286904,30.584952",Markmall(循礼门地铁站J口步行130米),382,4,江滩
久雀·棋牌麻将·共享茶楼(循礼门世纪大厦店),体育休闲服务;娱乐场所;棋牌室,"114.286882,30.584970",循礼门世纪大厦22楼B室(循礼门地铁站J口步行60米),383,4.2,大智路
旧梦沉浸式剧本推理馆,体育休闲服务;运动场馆;运动场所,"114.286873,30.584980",世纪大厦25楼E-F室(循礼门地铁站J口步行90米),383,4.3,大智路
不知名俱乐部(世纪大厦店),体育休闲服务;娱乐场所;娱乐场所,"114.286867,30.584987",京汉大道852号世纪大厦A座26楼D,383,4.5,前进
罗生门沉浸式剧本杀(世纪大厦店),体育休闲服务;娱乐场所;娱乐场所,"114.286885,30.584964",京汉大道852号世纪大厦F10层,383,4.2,江滩
速来国粹营24h自助共享棋牌(江汉路世纪大厦店),体育休闲服务;娱乐场所;棋牌室,"114.286875,30.584973",京汉大道循礼门世纪大厦A座8楼8B,383,4.5,江滩
一条剧本推理社,体育休闲服务;娱乐场所;娱乐场所,"114.286877,30.584970",世纪大厦A座9B,383,4.2,大智路
鉴查院·沉浸式演绎剧场,体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.286882,30.584960",世纪大厦6层A户(循礼门地铁站J口步行70米),383,3.9,江滩
日暮NightFall密室逃脱(世纪大厦店),体育休闲服务;娱乐场所;娱乐场所,"114.286834,30.585015",地铁循礼门站J出口世纪大厦26楼A户,384,4.3,江滩
SEASON(Markmall店),体育休闲服务;娱乐场所;娱乐场所,"114.286910,30.584921",京汉街与江汉路交叉口东北40米,384,3.6,大智路
喵18 Miao Eighteen清吧(世纪大厦店),体育休闲服务;娱乐场所;酒吧,"114.286875,30.584959",京汉大道世纪大厦十八楼(吾饮良品和茶颜悦色中间电梯),384,4.4,前进
