name,type,location,address,distance,rating_gaode,rating_xhs,business_area
公共厕所(中心百货江汉路店),公共设施;公共厕所;公共厕所,"114.289468,30.581929",江汉路129号中心百货(江汉路店)8F层,563,[],,江滩
女洗手间(M购物中心),公共设施;公共厕所;女洗手间,"114.285757,30.583568",江汉路187号M购物中心L5层,565,[],,前进
男洗手间(M购物中心),公共设施;公共厕所;男洗手间,"114.285789,30.583536",江汉路187号M购物中心L6层,565,[],,前进
女洗手间(M购物中心),公共设施;公共厕所;女洗手间,"114.285764,30.583559",江汉路187号M购物中心L6层,565,[],,前进
男洗手间(M购物中心),公共设施;公共厕所;男洗手间,"114.285707,30.583607",江汉路187号M购物中心L5层,565,[],,前进
公共厕所(M购物中心),公共设施;公共厕所;公共厕所,"114.286430,30.582991",江汉路187号M购物中心L4层,567,[],,前进
公共厕所(M购物中心),公共设施;公共厕所;公共厕所,"114.286430,30.582991",江汉路187号M购物中心L3层,567,[],,前进
无障碍洗手间(M购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,"114.286402,30.583009",江汉路187号M购物中心L4层,567,[],,前进
男洗手间(M购物中心),公共设施;公共厕所;男洗手间,"114.286433,30.582981",江汉路187号M购物中心L6层,567,[],,前进
无障碍洗手间(M购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,"114.286393,30.583005",江汉路187号M购物中心L3层,568,[],,前进
女洗手间(M购物中心),公共设施;公共厕所;女洗手间,"114.286081,30.583226",江汉路187号M购物中心B1层,569,[],,前进
男洗手间(M购物中心),公共设施;公共厕所;男洗手间,"114.286121,30.583190",江汉路187号M购物中心B1层,569,[],,前进
男洗手间(中心百货江汉路店),公共设施;公共厕所;男洗手间,"114.289925,30.581837",江汉路129号中心百货(江汉路店)5层,569,[],,前进
女洗手间(M购物中心),公共设施;公共厕所;女洗手间,"114.286415,30.582961",江汉路187号M购物中心L4层,570,[],,前进
女洗手间(M购物中心),公共设施;公共厕所;女洗手间,"114.286415,30.582961",江汉路187号M购物中心L3层,570,[],,前进
武汉M+购物中心-女洗手间,公共设施;公共厕所;公共厕所,"114.286069,30.583220",江汉路187号武汉M购物中心B1,570,[],,江滩
男洗手间(M购物中心),公共设施;公共厕所;男洗手间,"114.286389,30.582978",江汉路187号M购物中心L3层,570,[],,前进
女洗手间(M购物中心),公共设施;公共厕所;女洗手间,"114.286390,30.582942",江汉路187号M购物中心L5层,573,[],,前进
武汉M+购物中心-女洗手间,公共设施;公共厕所;公共厕所,"114.286365,30.582928",江汉路187号武汉M购物中心F5,576,[],,前进
男洗手间(M购物中心),公共设施;公共厕所;男洗手间,"114.286349,30.582934",江汉路187号M购物中心L5层,576,[],,前进
女洗手间(大润发江汉店),公共设施;公共厕所;女洗手间,"114.284524,30.584993",江汉路257号大润发(江汉店)2F层,581,[],,新华路
男洗手间(大润发江汉店),公共设施;公共厕所;男洗手间,"114.284498,30.585010",江汉路257号大润发(江汉店)2F层,583,[],,新华路
麦当劳(中心百货店)-洗手间(内部专用),公共设施;公共厕所;公共厕所,"114.290077,30.581598",中山大道818号佳丽广场B1楼(民生路口)HAPPY站台,596,[],,前进
男洗手间(中心百货江汉路店),公共设施;公共厕所;男洗手间,"114.289356,30.581588",江汉路129号中心百货(江汉路店)5F层,602,[],,前进
女洗手间(M购物中心),公共设施;公共厕所;女洗手间,"114.285772,30.583062",江汉路187号M购物中心L3层,603,[],,前进
女洗手间(M购物中心),公共设施;公共厕所;女洗手间,"114.285772,30.583062",江汉路187号M购物中心L2层,603,[],,前进
女洗手间(M购物中心),公共设施;公共厕所;女洗手间,"114.285772,30.583062",江汉路187号M购物中心L5层,603,[],,前进
女洗手间(M购物中心),公共设施;公共厕所;女洗手间,"114.285772,30.583062",江汉路187号M购物中心L4层,603,[],,前进
男洗手间(M购物中心),公共设施;公共厕所;男洗手间,"114.285709,30.583071",江汉路187号M购物中心L2层,606,[],,前进
男洗手间(M购物中心),公共设施;公共厕所;男洗手间,"114.285709,30.583071",江汉路187号M购物中心L3层,606,[],,前进
男洗手间(M购物中心),公共设施;公共厕所;男洗手间,"114.285709,30.583071",江汉路187号M购物中心L5层,606,[],,前进
男洗手间(M购物中心),公共设施;公共厕所;男洗手间,"114.285709,30.583071",江汉路187号M购物中心L4层,606,[],,前进
公共厕所,公共设施;公共厕所;公共厕所,"114.283575,30.584413",解放大道506号附近,690,[],,新华路
武汉市中心医院(总院)母婴室,公共设施;公共厕所;婴儿换洗间/哺乳室/母婴室,"114.294626,30.581993",胜利街与南京路交叉口门诊部3层,699,[],,江滩
公共厕所(装修中),公共设施;公共厕所;公共厕所,"114.292003,30.582317",中山大道与扬子街交叉口西100米,545,[],,前进
公共厕所,公共设施;公共厕所;公共厕所,"114.296548,30.590100",黄兴路与中山大道交叉口西120米,706,[],,江滩
公共厕所,公共设施;公共厕所;公共厕所,"114.295040,30.591704",[],706,[],,大智路
长江报亭,公共设施;报刊亭;报刊亭,"114.294818,30.592044",京汉大道与大智路交叉口东北40米,722,[],,大智路
洗手间,公共设施;公共厕所;公共厕所,"114.295400,30.582222",胜利街24号2层,728,[],,江滩
武汉市中心医院门诊部母婴室,公共设施;公共厕所;婴儿换洗间/哺乳室/母婴室,"114.294766,30.581717",武汉市中心医院胜利街门诊部3层,731,[],,江滩
公共厕所,公共设施;公共厕所;公共厕所,"114.291613,30.580376",江汉路地铁站B2层(A口进站下行扶梯处),745,[],,江滩
