name,type,location,address,distance,rating,business_area
好礼客中华包点(南京路店),餐饮服务;餐饮相关场所;餐饮相关,"114.289879,30.584949",南京路111号,224,3.9,江滩
己小吃(福忠里店),餐饮服务;快餐厅;快餐厅,"114.291121,30.585090",吉庆街与汇通路交叉口西南40米,227,3.4,大智路
眼镜烧烤(福忠里店),餐饮服务;中餐厅;特色/地方风味餐厅,"114.291187,30.585112",南京路106附(循礼门地铁站H口步行460米),227,4.5,大智路
状元全牛宴(德润社区二德里安全小区店),餐饮服务;中餐厅;中餐厅,"114.290782,30.584962",吉庆街47号德润社区二德里安全小区,229,4.5,江滩
牛很鲜潮汕牛肉火锅(循礼门店),餐饮服务;中餐厅;火锅店,"114.287985,30.586039",京汉大道858号世纪商厦旁牛很鲜店,231,4.4,江滩
金凤爪烧烤,餐饮服务;中餐厅;特色/地方风味餐厅,"114.290732,30.584916",南京路吉庆街43附1号(循礼门地铁站H口步行420米),233,4.3,江滩
小康煨汤馆(吉庆街店),餐饮服务;中餐厅;中餐厅,"114.290629,30.584881",循礼门地铁站H口步行420米,235,4.2,江滩
78油焖蜗牛私房菜(福忠里店),餐饮服务;中餐厅;中餐厅,"114.290574,30.584855",退思里小区东南1门旁(循礼门地铁站H口步行410米),237,4.7,江滩
金牌炒饭(吉庆街店),餐饮服务;中餐厅;中餐厅,"114.290955,30.584932",大智街街道吉庆街88号(循礼门地铁站H口步行430米),237,4.4,江滩
回味从前湖北融合菜(吉庆民俗街店),餐饮服务;中餐厅;中餐厅,"114.292400,30.586018",吉庆街辅义里9号楼1层,239,4.8,大智路
优谷库·排骨焖花卷砂锅,餐饮服务;中餐厅;中餐厅,"114.292631,30.586688",吉庆街与瑞祥路交叉口西南40米,239,[],江滩
油焖大虾(江岸区),餐饮服务;中餐厅;海鲜酒楼,"114.290425,30.584811",吉庆街86号(循礼门地铁站H口步行390米),239,3.6,大智路
筷喂公主,餐饮服务;中餐厅;中餐厅,"114.287907,30.585947",京汉大道856附5号(循礼门地铁站H口步行80米),242,3.6,江滩
野酵手作面包(铭新街店),餐饮服务;糕饼店;糕饼店,"114.292405,30.587977",大智路铭新街道83号附5号,244,4.3,大智路
品味馆.砂锅藕汤.地道湖北私房菜(福忠里店),餐饮服务;中餐厅;中餐厅,"114.290913,30.584855",吉庆街86号(循礼门地铁站H口步行430米),244,4.6,江滩
地道湖北菜(福忠里店),餐饮服务;中餐厅;湖北菜(鄂菜),"114.290837,30.584823",吉庆街94号福忠里(循礼门地铁站H口步行410米),246,3.5,江滩
东来顺饭庄(吉庆民俗街店),餐饮服务;中餐厅;火锅店,"114.292592,30.586248",黄石路与吉庆街交叉口,246,4.8,江滩
